,review,polarity
1953,거실처럼 넓은 공간까지 따뜻하게 커버하는 화력이라 매우 만족해요~,긍정
1954,1+1구매했는데  후회되네요.,부정
1955,무게가 무거워서 이동하기 힘드네요.,부정
1956,후기가 조용하다고 해서 샀는데  저한테는 소리가 시끄럽네요ㅜㅜ  ,부정
1957,저소음 제품이라 구입했는데 전 많이 시끄러워서 실망이 큽니다. ㅜ 안 좋아요. ,부정
1958,에어컨 가동시에 창문이 많이 떨려요 진동이 느껴집니다... 이거 소음 은근히 짜증나네요...,부정
1959,크기가 작아서 좀 아쉽지만,중립
1960,제조일도 생산된지 얼마안된 제품이라 좋아요ㅎ,긍정
1961,처음 작동할때 그을음이 있었지만 금방 없어져서 그럭저럭 쓸만해요,중립
1962,제품 부피는 큰데 그에 비해 용량이 적어서 아쉽네용,부정
1963,그냥 윙~ 고정도 소음이라 작아서 좋네요. ,긍정
1964,저도잠들기까지 소음때문에 힘든네요ㅠㅠ,부정
1965,완전실망 입니다 선풍기보다 효과가 없으며,부정
1966,이동하기도 좋네요. 잘 산것같아요,긍정
1967,소음은 좀 있는편,중립
1968,리모컨까지 있어서 따뜻한 겨울 나겠네요~,긍정
1969,장마철 습도가 너무 높아서 제품 작동시키니 금방 집안이 쾌적해져서 마음에 듭니다..,긍정
1970,스마트폰으로 조작 할 수 있어서 좋네요. ,긍정
1971,또 물통이 대용량이라 만수시 물 빼낼때 무거워 힘들어요.. 안 좋네요.. ,부정
1972,풍량도센편은아니여서 에어컨킬때함께사용중이예요,부정
1973,또 전체적인 재질이 고급스럽고 마감도 깔끔하게 잘 되어 있어서 아주 마음에 들어요.. ,긍정
1974,무거워서 사용하기 힘들어요. ,부정
1975,싼거같아 사긴 했는데 싼게 비지떡이라고...,부정
1976,목에 걸고 다니니까 가볍고 편해서 좋네요.,긍정
1977,제품 마감 퀄리티가 깔끔하지 않아 아쉽습니다.,부정
1978,그런데 물통 용량은 쫌 작긴 해요,부정
1979,디자인이 깜찍하고 예뻐요,긍정
1980,사용해보니 와우~ 제습 능력이 매우 탁월하네요.  곰팡이 냄새로 가득했던 베란다가 아주 쾌적해져서 대만족입니다. ,긍정
1981,무게가 제법 나가네요. 혼자들기에는 버거워요ㅠ,부정
1982,원했던 아이보리 색상으로 배송해주셔서 감사해요 ^^,긍정
1983, 냉장고 돌아가는 소리만큼 소음이 있긴 하네요,부정
1984,밤에는 버튼에서 LED 불빛이 나와서 어두울때 작동하기 매우 편리해서 좋습니다.. 물론 낮에는 불빛이 OFF ,긍정
1985,다만 제조일이 최신이 아니라 좀 아쉽네요,부정
1986,제품 사용할때 작동소음이 살짝 나서 불편하고 불만족스럽네요. ,부정
1987,품질 실망이에요,부정
1988,제품 성능 우수해 좋네요 ^^,긍정
1989,새 상품인데 제품에 스크래치가 있어서 아쉽네요.,부정
1990,결코 저렴한 가격이 아니네요... 추가비용 나와서 열받네요ㅜ,부정
1991,에너지 효율도 3등급에.. 벌써부터 전기세 걱정입니다.,부정
1992,넘넘 시원하고,긍정
1993,바닥 쪽 검은 고무는 계속 가루처럼 떨어져나오고,부정
1994,소음은 어쩔 수 없는가 봅니다,중립
1995,제품의 바람세기 단계가 다양해서 용도에 맞게 골라 쓸수 있는 점이 마음에 듭네요.. ,긍정
1996,"제품 켜보니 소음이 너무 커서 취침시 끄고 자야하고, 낮에 사용하는 건 생활소음 때문인지 거슬리진 않아요.. 암튼 별로 안 좋네요 ㅜ .",부정
1997,혼자 설명서 보고 깔끔하게 설치 잘 마쳤습니다. ^^ 설치 간편해서 좋네요. ㅎ,긍정
1998,다만 상품평대로 오래 사용하면 본체에서 따뜻한 바람이 나와서 불쾌지수 올라가네요.ㅜ 그 점만 아쉬워요.,부정
1999,현재 습도 표시가 안되서 아쉽네요..,부정
2000, 제습 작동시에 물이 생기는거 보니 집에 습기가 얼마나 가득했는지 알수있어 좋아요ㅎ,긍정
2001,역시 제습기는 ooo~ 최고에요 ,긍정
2002,완충후 작동시간이 너무 짧아서 아쉽네요,부정
2003,다만 반나절 사용하니 모터에서 열감이 느껴져서 아쉽네요.ㅜ ,부정
2004,소재가 플라스틱이라 장난감 같은 싸구려 느낌.........,부정
2005,기능이 여러가지라서 마음에  들어요~ ,긍정
2006,조립도 쉽고 간편해서 누구나 할 수 있어 좋네요!,긍정
2007,컴팩트해서 좋습니다.,긍정
2008,하얀색 싫은데 선택을 할수가 없어서 아쉽습니다. ,부정
2009, 3일쓰고 고장 버렸음 별로임,부정
2010,생각보다 제품 작동 소음이 거의 없고 조용해서 만족해요. ,긍정
2011,틈새먼지도 주기적으로 물청소해야 할 것 같습니다.,부정
2012,어머니댁으로 보내드렸는데 바람도 시원하고 리모컨 작동이 편하시다고 좋아하십니다^^,긍정
2013,제습되는 속도가 빨라서 얼마 안되었는데도 물통이 금방 찼어요~~~ ,긍정
2014,디자인도 심플하고 이뻐서 더 만족합니다,긍정
2015,무게가 제법 나가 혼자 옮기기 힘들어요.,부정
2016,장마 동안 사용해봤는데 제습 성능 무지 훌륭합니다!! 강추~~ ,긍정
2017,가격도 생각보다 많이 비싸고.. ,부정
2018,제품 디자인이 심플해서 인테리어도 한몪하는거 같아요 ,긍정
2019, 바퀴도 있어서 방마다 돌아가면서 쓰기 좋네요!! 설명서도 한글로 되어있어 편리하고,긍정
2020,스마트폰으로 연동은 안되서 아쉽네요 ㅠ,부정
2021,디자인은 OOO에 비해 별로에요,부정
2022,분사량은 조절을 할수 잇도록 강약이 있었으면 합니다,중립
2023,저렴한 가격에 잘 구매했어요^^,긍정
2024,색상도 투톤이라 포인트 있고 예쁘네요~,긍정
2025,제품 성능은 좋아 따뜻합니다. ,긍정
2026,높낮이를 직접 교체하는게 번거롭지만 ㄱㅊㄱㅊ,부정
2027,사용시 소음은 좀 있지만 불편하지 않아서 만족해요. ,중립
2028,"습기 제거 작동이 아주 잘 되고 만족스러운데,",긍정
2029,예상보다 작동소음이 좀 있는 편이라 아쉽네요. ㅜ ,부정
2030,가장 걱정했던 부분이 소음이었는데 역시나 시끄럽네요 더운데 안틀수도 없고...,부정
2031,제품 성능 좋아 야외 추운 현장에서도 만족하며 잘 사용해요 ~! ,긍정
2032,"크기도 큰 편이고, 가격만큼입니다... ",부정
2033,여름가전으로 유명한 ooo회사 제품이라 고민하지 않고 택했는데 써보니 너무 안 좋아서 구입 후회되네요 ㅜ ,부정
2034,일반 에어컨보다 확실히 소음은 좀 잇어요,부정
2035,또 바람나오는 구멍도 자동으로 열리고 닫혀서 편리하고 좋네요.. ,긍정
2036,냉방 기능이 별로네요 ㅠ,부정
2037,제습력이 훌륭해서 사용해본 타사 제품과 비교가 되지 않네요.. 대만족입니다. ,긍정
2038,리모컨 상태도 그닥이네요~,부정
2039,OO홈쇼핑 보다 10마넌 비싼이유는,부정
2040,디자인 넘 예뻐서 개봉하자마자 엔돌핀 상승~~ㅎㅎ,긍정
2041,12단 풍속조절이 가능해서 실내 온도에 따라 나에게 맞는 시원한 바람을 느낄 수 있어서 아주 만족합니다.,긍정
2042,얼음얼리고  물보충하고 하는게 좀귀찮긴하지만 ...,중립
2043,이번에 새로 구입하면서 대용량 제품으로 구입했는데 사용해보니 훨씬 좋네요.. 굿~,긍정
2044,소파에 전기매트 깔아놓음 따뜻하니 넘좋아요,긍정
2045,한번도 아니고 이 오류때문에 몇번을 껐다 켰다 했는지 모르겠습니다. ,부정
2046,실버주문에 아이보리 색상 제품이 왔네요. 색상 이뻐서 만족합니다. ^^,긍정
2047, 50프로 적립금까지.. 너무 잘샀네요,긍정
2048,단순 온/오프에 온도조절만 있는거였네요ㅜ,부정
2049,제습은 그럭저럭 잘되네요,중립
2050,제품 쓸때 소음이 거의 없고 조용해 만족해요. ,긍정
2051,약간 무겁지만 제품 하단부에 바퀴가 매우 부드러워서 이동이 용이해서 좋네요.. ,긍정
2052,일반 선풍기보단 조금더 시원해서 만족합니다,긍정
2053,제품 무게는 좀 무거워서 이동할때 남편 도움이 필요할 것 같아요. ㅜ ,부정
2054,습했던 안방이 보송보송 제습력이 최고네요! 강력추천해요. ,긍정
2055,어플 조작하는 방법이 제대로 안내가 안되어 있네요,부정
2056,디자인은 깔끔하고 무난해서 만족합니다,긍정
2057,"다만, 구성품 중에 연장호스, 신발건조키트가 빠져서 왔어요 ㅠ 잘 좀 챙겨주세요ㅠ",부정
2058,일일제습용량에 비해 물통용량은 작은편이라 아쉽네요,부정
2059,고장도 없고 잘 작동해서 만족합니다~~,긍정
2060,인버터기능은 효과적이라 마음에 듭니다.,긍정
2061,제품 성능은 우수해서 온수 잘나오고 좋습니다. ,긍정
2062,이제품 없었으면 새벽에 집에서 떨었을거에요. 성능은 만족합니다 ,긍정
2063,"사용할때 모터소음이 적어서 마음에 들고, ",긍정
2064,소음이 조금 있어서 아쉬워요,부정
2065,머리가 무서워서인지 스텐드형으로 사용시 기우뚱 거려요,부정
2066,2대중 하나는 소음으로 불량으로 비추합니다.,부정
2067,디자인이 1세대보다 훨씬 깔끔해서 예뻐요~,긍정
2068,밤에 잘때 초미풍으로 설정하면 밤새 은은한 바람이 나와서 꿀잠자기 좋네요.. 굿~^^,긍정
2069,가성비가 너무 좋은게 제일 장점입니다,긍정
2070,다양한 모드로 쓸 수 있고 제습도 잘 되서 물통에 물차는거 보니 뿌듯합니다!,긍정
2071,용량을 너무 큰거 산거 같아 후회가 됩니다. ㅠ.ㅠ,부정
2072,제습이 잘되니 단시간에 실내 공기가 보송해지고 쾌적해서 좋아요!! 진작살걸 그랬네요^^,긍정
2073,에어컨 자체는 작고 작은방에 설치하기에 나쁘지 않습니다,중립
2074,"소리도 걱정했던 것보다 덜 나고,",긍정
2075,제품 전체 불량 엉터리입니다 돈아깝네요 ㅠ,부정
2076,배터리 충전해서 무선으로 사용 할 수 있어 편리하고 좋아요~^^,긍정
2077,제품은 저렴한 가격에 구입해서 마음에 들어요.. ,긍정
2078,쾌적 기능이 있어 말 그대로 쾌적하게 여름을 보내고 있어요,긍정
2079,특히 소리가 크게 나지 않아서 소음 스트레스가 없어 너무 좋아요!!,긍정
2080,사이즈는 공간 많이 차지하는거 싫어서 작은거 구입했는데 저희집에 딱 좋네요.. ,긍정
2081,하단부 바퀴도 부드러워서 이방저방 옮기기도 쉬워요..  굿 ,긍정
2082,바뀌도 달려 이동도 쉽고 ,긍정
2083,무선인 게 편할 것 같아서 샀는데 이동하면서 쓸거면 큰 의미는 없어 보입니다. 비추천합니다.,부정
2084,제품 무게가 예상보다 무거워서 옮길때 불편해서 안좋아요. ,부정
2085,또 오래 사용하면 본체에서 뜨거운 바람이 나와서 역시나 너무 안 좋네요.ㅜ ,부정
2086,1단계는   적당하게 시원하고,중립
2087,디자인이 이쁘긴한데 ,긍정
2088, 리모콘이 없어 다소불편한점 있으나,부정
2089,"신발,옷장,연속배수호스는 별도로 구매해야 하다니... 황당하네요ㅜ",부정
2090,제품 키면 금새 집안온도가 올라가네요. 성능 굿~!,긍정
2091,물통 용량도 작아서 물을 금세 버려야되고 별로네요,부정
2092,시원하지도 않아 실망이고,부정
2093,"약간 스크래치도 있고, 리모컨에도 있고 반품 제품으로 의심할 수 있을 것 같아요.",부정
2094,"사고 나서 젤 비싸게 구입한 걸 알게 되었어요., ㅜ ",부정
2095,일반 에어컨보다 확실히 소음이 있네요,부정
2096,000라 믿고 삽니다,긍정
2097,소음이 없어서 잠 자기 좋네요^^,긍정
2098,이전비용감안하면 나름 잘 구매했다 생각합니다,긍정
2099,제품이 생각보다 많이 무겁네요ㅜ,부정
2100,또 코드연결선 다 쓴 후 버튼 누르면 본체안으로 한번에 쏙 들어가야 정상인데 제껀 몇번 눌러야 들어가네요.. ㅜ 불량인가요. 실망이 커요.,부정
2101,저렴한 가격에 구입을 하게되어 만족합니다ㅋ,긍정
2102,가격대비 성능 좋구,긍정
2103,생객보다 디자인이 귀엽고 깜찍해요~~,긍정
2104,작동시 소음이 적고 조용해서 좋습니다.,긍정
2105,다만 꿉꿉했던 옷들이 하루만에 뽀송해지는 걸 보니 놀랍네요.. 제습력 대만족입니다. ,긍정
2106,배수호스 연결이 가능해 물통 비우는 수고로움이 사라져 대만족입니다. ,긍정
2107,디자인도  이쁘고  좋아요,긍정
2108,다만 색상은 왜 화이트만 있을까요? 먼지가 묻어서 아쉽네요,부정
2109,콤팩트사이즈로 했는데 사이즈가 좀 커서 실망했어요,부정
2110,제품 사이즈가 예상보다 커서 공간 많이 차지해서 좀 불편하고 아쉽습니다. ,부정
2111, 디자인도 깔끔해서 좋구요.,긍정
2112,큰 사이즈와 고민했지만 역시 작은 사이즈가 공간 차지 안하고 옮기기도 용이해서 좋아요.. 굿 초이스~^^,긍정
2113,7평형이라 파워 냉방으로 해도 온도가 떨어지기 까지 시간이 오래 걸려서 별로예요,부정
2114,제습기 하면 ooo 평이 좋아 믿고 구매했는데 너무 좋네요~,긍정
2115,비싸지 않아 만족해요,긍정
2116,다만 본체 표면의 마감이 거칠고 살짝씩 스크래치가 있어서 실망이 커요. ㅜ ,부정
2117,모터 소음이 지지직거려 별로에요.. ㅡㅡ;;;,부정
2118, 근데 소음은 있는 편이라 시끄러워요.  ,부정
2119,다만 코드 연결선이 무척 짧아서 사용할때 불편해서 별 하나 뺍니다.. ㅜ,부정
2120,작동할때 미세하게 소음이 발생하지만 크지 않아서 괜찮다고 하네요..,중립
2121,크기도적당하고 ,긍정
2122,제품 크기가 정말 아담하고 앙증맞아서 귀여워요. 굿^^,긍정
2123,필터가 조금 황당하긴하네요.,부정
2124,오래 틀고 있어도 발열도 없고 최고!!,긍정
2125,와우 ~  저소음 제품이라 구입했는데 역시나 신기할만큼 조용해서 마음에 들어요.. 완전 무소음 같아요.. ,긍정
2126,여름철 꿉꿉한 냄새때문에 불편했는데 제습이 잘되서 보송하고 쾌적해서 너무 좋아요!! ,긍정
2127,기름 9리터 넣고 4일째 사용중인데 생각보다 기름소모도 적어 만족해요,긍정
2128,처음 제품에서 플라스틱 냄새가 나 불쾌했습니다.,부정
2129,저렴한 가격의 제품도 아닌데 어이없고 화나네요ㅠ,부정
2130,소음은 약간 있는 편입니다ㅠ,부정
2131,높은 기둥 설치할때도 억지로 넣어야 겨우 맞고,부정
2132,제품이 엄청 무거워 들기 힘들어요,부정
2133,가성비 최고네요. ,긍정
2134,타사 제품은 너무 시끄러웠는데 이 제품은 조용해서 좋네요! ,긍정
2135,제품이 업그레이드 되어 예전 제품보다 훨씬 조용해져서 대만족입니다. ,긍정
2136, 리모컨이 불량이 왔네요. 리모컨만 교환이 가능할지요. 전체 교환 귀찮은데…,부정
2137,"생각한것 보다 무겁긴 하지만,",부정
2138,소음도 심하고...,부정
2139, 따뜻하고 좋네요~ ,긍정
2140, 바람른 1-2단은  조금 소음이 있지만 거슬릴 정도는 아니고,중립
2141,시원하지도 않아요완젼 낚엿네 기분이 완전 더럽네요,부정
2142,조용해서 만족스러워요,긍정
2143,양손이 자유로워 편리하지만,긍정
2144, 소음은 좀 있어서 거슬리네요ㅜ,부정
2145,제습 능력이 아주 짱짱합니다~,긍정
2146,그렇지만 딱히 큰 메리트가 없어서 가격이 너무 비싼 것 같다는 생각이 드네요,부정
2147,소리도 너무 크네요,부정
2148,이 제품은 부탄가스잔여량이 전혀 남지 않아 좋습니다. ~! ,긍정
2149,다만 구입하고 다음에 바로 가격할인 들어가 저만 비싸게 구입해서 많이 아쉬워요. ㅜ  ,부정
2150,버튼 터치감도 좋고 조작도 간단해서 만족합니다. ,긍정
2151,물을 머금고 있는 제품이니 무게도 상당하지만 당연한거니까 괜찮아요. . ~! ,중립
2152,전통은괜히있는게 아니네요 품질면에서 적극추천합니다 ,긍정
2153,날개  컬러가 약간 아이보리색이라 좋아요~,긍정
2154,제습력 나름 괜찮아요!,긍정
2155,소음은 그리 크지도 작지도 않아서 쓸만합니다. ,중립
2156,제품 반나절 작동시켰는데 본체 윗부분에서 뜨거운 바람이 나와 당황스럽고 안 좋네요 ㅜ,부정
2157,사용하기도 편해요,긍정
2158,리모콘도 있고 돼지코 충전기도 구성품에 있어서 좋아요~,긍정
2159,시원하고 좋네요,긍정
2160,모터소음이 정말 적고 조용해서 가끔 켜있나 확인해요.. ㅋㅋ 만족감이 큽니다.. ,긍정
2161,무서워요. 코드 꽂기만 했는데 혼자 회전이 되고있어요.  어이가 없네요. ,부정
2162,조립도 간단하고 기능이나 바람세기나 마음에 쏙듭니다,긍정
2163,ooo이라서 이번에도 브랜드 이름 보고 믿고 구매합니다.,긍정
2164, 제습 기능도 뛰어나서 이제 습기 걱정이 사라졌어요~^^,긍정
2165,장마철에 빨래 건조 기능으로 옷 말릴수 있어 진짜 만족스러워요. ,긍정
2166,용량도 좀 컸으면 좋았을텐데 아쉽네요 ㅠ,부정
2167,"제품 품질 (재질, 이음새, 마감)은 훌륭해서 마음에 들어요..",긍정
2168,제품 조립이 매우 쉽고 간단해서 금방 완성했어요.. 만족해요. ,긍정
2169,타사제품 비교해 제품이 조용하고 소음없어서 만족해요. ,긍정
2170,소리가 너무심해 고장난 모터 돌아가는소리가 심해서 에어컨을 아예 실행시킬수가 없을정도예요. 불편해요. ,부정
2171,사이즈가 작아서 자리차지않고 좋아요,긍정
2172,필터는 14일 안에 온다고 하니까 기다려볼랍니다.,중립
2173,색상이 깨끗한 화이트라 거실이 환해지는 느낌이라 마음에 쏙 듭니다. ,긍정
2174,선풍기 회전시 상하각도조절도 리모컨으로 되면  더 편할것같아요.직접 해줘야하니 번거로워요.,부정
2175,가격도 많이 비싸지 않고 좋아요~,긍정
2176,성능 최고~! 굉장히 따뜻하고 좋습니다. ㅎㅎ ,긍정
2177,크기도 조절도 되어 편리합니다.,긍정
2178, 온풍바람세기가 넘약해요 별로예요 ,부정
2179,실시간으로 감지하는 듀얼 스마트 시스템이 있다는데 전 잘 모르겠어요 별 차이가 없네요,중립
2180,제습력이 우수해 눅눅하고 곰팡이 냄새 가득했던 거실이 아주 뽀송해져서 흡족하네요.. ,긍정
2181,또 전원 버튼이 왜 제품 뒷면에 있죠?  옆이나 앞에 있으면 훨씬 편리할텐데.. 아쉬운점이 많은 제품이네요. ㅜ ,부정
2182,10분만에 거실이 후끈후끈하고 실내온도가 막 올라가는게 보이네요. 성능 너무 좋아요 ,긍정
2183,실내 습기를 잘 잡아줘서 보송하니 너무 만족스러워요^^,긍정
2184,반지하라 습도가 높았는데 제품 사용후부터는 아주 쾌적해졌다고 만족도가 높네요.. ㅎㅎ,긍정
2185,온도를 강하게 올리면 건조해질수도 있는데 적정 온도를 유지하면 괜찮고  편해서 좋습니다,중립
2186,바람세기 조절이 잘 되고 시원해서 정말 마음에 들어요.,긍정
2187,"사이즈도 너무 커서 공간 차지를 많이 하고,",부정
2188, 디자인도 예쁘고 제 마음에 쏙 드네요~^^,긍정
2189,색상은 사진에서 본 거 보다 칙칙해서 아쉬워요~,부정
2190,마감이 싼티나서 싸구려티가 팍팍나서 별로예요,부정
2191,설치방법은 쉽긴한데,긍정
2192,착한 가격에 구매할 수 있어서 너무 좋고요!!,긍정
2193,시끄러울 줄 알았는데 조용해서 좋고,긍정
2194,외관도 깔끔하고 예쁘구요^^.,긍정
2195,전기료도 생각보다도 너무저렴하게나온듯싶구요 전번달에 비해서 조금더  아주저렴하게 나왔서 기분이 좋네요 ,긍정
2196,제품이 바퀴가 달려있어 이동이 편리하게 되서 넘 좋아요.,긍정
2197,다만 오래 사용할수록 본체 윗면에서 뜨거운 바람이 나와서 안 좋네요. ㅜ ,부정
2198,바람세기가 타 제품에 비해 약해서 아쉽고 불만족스럽네요.. ㅜ ,부정
2199, 물받이 통에 물이 얼마나 차는지 확인이 어려워서 불편하네요..,부정
2200,에너지소비효율 4등급이라 효율이 낮아 만족못하겠어요,부정
2201,위아래 조절이 되면 더 좋겠네요,중립
2202,리모콘에 있는 건전지를 방전지로 보내서 별로예요,부정
2203,신형 제품은 제품 박스 디자인도 새롭게 업그레이드 되어 멋지네요 ,긍정
2204,할인행사에 쿠폰까지 이중으로 혜택받아서 좋은 가격에 구입해 기분이 좋네요.. ,긍정
2205,근데 본품에 찍힘? 긁힘? 작은 흠집들이 있네요. 실망스러워요. ㅜ  ,부정
2206,제가 살 때는 정가 그래도 주고 샀는데 세일하니까 배가 아프네요,부정
2207, 기존에 쓰던 것보다 용량이 커서 물이 많이 차니 좋네요!,긍정
2208,근데 생각보다 모터 작동소음이 커서 안 좋네요..ㅜ ,부정
2209, 작동도 잘되고 제습력도 너무 좋아서 습한게 없어졌어요^^,긍정
2210,"비싼 유명메이커(OO,OO) 보다 성능, 외관 어느것 하나 뒤지지 않아요!",긍정
2211,저 혼자 설명서 보고 조립했는데 쉽고 간편해서 금방 완성했어요..  기분 좋네요.. ㅎㅎ,긍정
2212,새제품 처음 가동시키니 안좋은 냄새가 많이 나서 기분 상했어요. ㅜ ,부정
2213,비싸게 구매했는데,부정
2214,제습기  가동후 제습량에  너무 놀랐어요,긍정
2215,새제품 바로 가동시켰는데 방 습도가 금방 내려가서 만족해요..  제습력 좋네요..ㅎ,긍정
2216,선풍기 바람이 부드럽고 시원해서  좋아요~,긍정
2217,바로 귀 아래에 위치해서 그런지 소리가 시끄러워 정신이 없네요,부정
2218,1인용이라 좀 작은감은 있는데,중립
2219,코드 꼽는 선이 짧아서 아쉬워요.,부정
2220,또 리모콘이 있어서 원거리 작동할때 짱 편리해서 좋아요. ,긍정
2221,여자가 하는데도 조립이 쉽고 금방 할 수 있어 좋아요,긍정
2222,디자인이 깔끔해서 마음에 들고~~,긍정
2223,생각보다  많이 시끄러운데 흠 ~,부정
2224,바퀴도 360도 회전하고 부드럽게 굴러가서 이동시 편리하고 좋아요!,긍정
2225,생각했던 사이즈보다 좀 더 커서 설치할때 힘들었어요...실측사이즈 잘 봐야해요.,부정
2226,가볍워서 보관이동도편리하니 만족해요.,긍정
2227,무거운느낌.ㅠㅠ,부정
2228,에어컨 이주 빵빵 만족합니다.  ,긍정
2229,에너지효율 3등급 제품이라 전기세가 많이 나와서 실망스럽네요.,부정
2230,조립할때 부속이랑 설명서랑 제대로 매치가 안되서 헤맸어요 별로예요 ㅠ,부정
2231,색상은 아이보리 빛에 가까워서 화면과 달라 아쉽네요,부정
2232,생각보다 저렴한 가격에 구매해서 마음에 듭니다. ,긍정
2233,디자인도 예뻐서 만족스럽습니다.,긍정
2234,물통차는거 보니 신기할정도로 제습이 잘되고 장마철내내 보송보송합니다^^,긍정
2235,설치가 엄청 간단하다고 할 순 없지만 그렇다고 복잡하지는 않앗어요.,중립
2236,작다보니 방이 작은곳에선 활용하면 좋을것 같아요!,중립
2237,제품은 정말 계산기만한 크기로 책상 아래 두고 사용하기 아주 편리하고 좋네요. ,긍정
2238,단점은 집안 공기가 많이 건도해져요...,부정
2239,생각했던 것보다 크기가 커서 좀 놀랬어요,부정
2240,완전시원하고 좋네요 ,긍정
2241,그리고 에너지효율등급이 1등급이라 제품을 선택했는데 만족스럽네요.,긍정
2242,자세한 설명 없어서 불편하구만요. 개선해주세요.,부정
2243,제품 무게도 가벼워서 이방 저방 옮겨가며 습기 제거하고 있어요.. 대만족입니다. ,긍정
2244,헤드 부분도 덜커덩 거려 튼튼하지 않고 ㅜ 소문과 달리 제품 엉망이라 불만족스러워요. ㅜ ,부정
2245,생각보다는 소음이 있지만  신경 쓸 정도는 아니라 괜찮아요,중립
2246,물통에 손잡이가 없어 불편하네요,부정
2247,소음이 생각이상이예요 너무 시끄러워요 ㅠ ,부정
2248,몇일 지난 후에 다시 알아보니 가격이 떨어져 있네요 비싸게 사서 속상합니다,부정
2249,제습기능이 탁월하게 잘되서 비 많이 와도 습기 잡아주니 쾌적하고 좋아요,긍정
2250,연속제습기능 사용하니 하루종일 뽀송하고 좋네요~~,긍정
2251,회전운하면 선풍기가 꺼지고 그러네요,부정
2252,소음도 별로없고 좋아요 ,긍정
2253,리모컨 기능이 있어 만족하고 사용중이에요.,긍정
2254,"제품 외형이 심플해서 마음에 들고,",긍정
2255,"단,타이머의 메모리 기능이 없는점이  코드나 전원차단시 다시 맞춰야해서 번거롭고  불편해서 아쉽네요...",부정
2256,다른 선풍기보다 길이가 너무 높아서 아쉽네요,부정
2257,석유 냄새가 살짝 나지만 사용하기 나쁘지 않아요.,중립
2258,다만 전체적으로 견고하고 튼튼해보이지 않아서 아쉬워요. ㅜ,부정
2259,물통도 생각보다 너무 작아서 물 비우는게 일이네요..,부정
2260,아주 아담한 사이즈가 귀엽고 어디든 자리차지를 하지않아 마음에 드네요.,긍정
2261,완충후 사용 지속시간이 더 길었으면 좋겠지만 좀 더 발전되야겠죠.. ,부정
2262,고장 없이 작동도 잘 되고 만족합니다!,긍정
2263,풍량 3단까지는 모터 소리가 하나도 나지않고 4단부터 일반 선풍기와 같은 소음~~ 정말 마음에 들어요.,긍정
2264,소음도 생각했던 것보다 작아서 좋고,긍정
2265,사이즈가 생각보다 커서 당황했습니다 ㅜ,부정
2266,소리도 시끄러워서 구입한거 후회되네요,부정
2267,소음은 견딜만하고 가격대비 성능좋아요,중립
2268,하단부 바퀴가 360도 회전되는게 아니라 이동시킬때 매우 부드럽지는 않네요.. 사용하기는 그럭저럭 괜찮아요. ,중립
2269,예상보다는 소음이 발생해 살짝 실망스럽네요.. ,부정
2270,성능도 나쁘고 ㅠ,부정
2271,소음은 있는데 시끄러울 정도는 아니라 쓸만해요~,중립
2272,허나 소음이 거슬립니다. ,중립
2273,제품 할인행사 할때 구입해서 저렴하게 샀어요.. 굿~,긍정
2274,디자인도 크롬으로 마감된 게 고급스럽고 예뻐요~,긍정
2275,작동할때 소리가 좀 요란한데 참을만해요.,중립
2276,다만 코드 연결선이 좀 짧은 편이라 불편하고 안좋네요.. ㅜ ,부정
2277,전기세도 많이 안나오고 바람성능도 그렇고 전체적으로 좋아요,긍정
2278,다만 작동시 제품에서 탄냄새가 올라와 머리가 지끈거리네요ㅠ,부정
2279,가격이 많이 비싸서 부담스럽고 안 좋아요. ㅜ ,부정
2280,회전할때도 소음이 심해요,부정
2281,시크한 까만색이면 좋았을걸~ 밝은 색이라 별로~,부정
2282,"장마철 드레스룸이 매우 꿉꿉했는데, 제품 사용후부터는 냄새도 사라지도 쾌적한 방이 되었어요.. 대만족~! ",긍정
2283,성능은 두말 할 것 없이 좋아요 빨래가 잘 말라요,긍정
2284,적당한 가격으로 구매해서 기분 좋네요!,중립
2285,소음이 적어서 만족합니다.,긍정
2286,우선 안방안에 켜보았더니 성능이 좋아 방안이 훈훈해져서 딱 좋네요. ,긍정
2287,손잡이가 따로 없어서 이동이 불편함.,부정
2288,집에서 쓰는건 리모컨도 안되고 난방도 다른 하나의 50프로 정도 되는 불량품인데 ,부정
2289,또 생각보아 소음도 적은편이라 거슬리는 거 없이 만족하며 사용하고 있어요.. ,긍정
2290,작아도 따뜻한 바람은 나오긴하는데  생각보다 별로네요...성능이 조금 아쉬워요,중립
2291,조립도 간단하게 할 수 있어 좋네요,긍정
2292,처음에 키면 기름 냄새가 나 좀 아쉬워요. ㅜ,부정
2293, 그런데 작동할때 소음이 꽤 커서 너무 신경이 쓰여요ㅠㅠ,부정
2294,처음에 켜고 끌때 냄새는 나지만 빨리 따뜻해져서 만족합니다 성능이 너무 좋아요~,긍정
2295,제품 사이즈를 작은 걸 원했는데 크기가 저희 집에서 사용하기엔 딱 알맞네요.. 마음에 듭니다. ,긍정
2296,모양도 예쁘고 튼튼해 보여 좋아요.,긍정
2297,사이즈도 작고,부정
2298,샷시가 옛날꺼라 앞틀이 얇아서 설치 하는데 힘든거,부정
2299,계속 목에 두르면 조금 부담될 무게라네요.,부정
2300,작동은 잘되는 듯해 그냥 사용하기로 합니다,긍정
